,City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
73,933077,Shakawe,0,BW,1658710791,45,-18.3667,21.85,57.4,4.94
74,4033356,Tiarei,11,PF,1658710791,80,-17.5333,-149.3333,80.62,14.58
75,986717,Kruisfontein,86,ZA,1658710727,82,-34.0033,24.7314,50.88,3.42
76,2121385,Severo-Kuril'sk,100,RU,1658710791,98,50.6789,156.125,51.8,15.08
77,5955902,Fort Nelson,75,CA,1658710791,37,58.8053,-122.7002,71.19,3.44
78,154380,Mbeya,21,TZ,1658710792,91,-8.9,33.45,51.46,6.04
79,1835848,Seoul,20,KR,1658710792,76,37.5683,126.9778,83.59,4.61
80,933995,Souillac,55,MU,1658710734,81,-20.5167,57.5167,66.79,5.95
81,5282297,Bethel,90,US,1658710792,79,41.3712,-73.414,82.76,3.42
82,3867427,Mayor Pablo Lagerenza,0,PY,1658710793,35,-19.9309,-60.7718,79.14,6.33
83,2015306,Tiksi,55,RU,1658710793,72,71.6872,128.8694,48.92,3.78
84,3466980,Caravelas,100,BR,1658710793,81,-17.7125,-39.2481,70.41,5.57
85,1282256,Hithadhoo,96,MV,1658710749,73,-0.6,73.0833,81.81,7.56
86,5233053,Yankton,100,US,1658710794,36,42.8711,-97.3973,85.12,7.72
87,2130741,Abashiri,75,JP,1658710794,88,44.0213,144.2697,67.95,2.3
88,3466704,Castro,100,BR,1658710772,73,-24.7911,-50.0119,58.86,2.91
89,2074865,Carnarvon,0,AU,1658710794,47,-24.8667,113.6333,58.48,16.89
90,525426,Sobolevo,32,RU,1658710795,98,54.4299,31.8996,56.28,6.87
91,1214488,Meulaboh,100,ID,1658710795,91,4.1363,96.1285,75.49,2.98
92,3369157,Cape Town,0,ZA,1658710728,82,-33.9258,18.4232,57.38,2.3
93,4529987,Bartlesville,73,US,1658710590,39,36.7473,-95.9808,100.78,9.78
94,1735106,George Town,20,MY,1658710573,93,5.4112,100.3354,80.53,3.44
95,4793846,Williamsburg,4,US,1658710597,77,37.2707,-76.7075,86.0,1.01
96,1831173,Kampong Cham,6,KH,1658710795,79,11.9934,105.4635,81.12,4.65
97,3393115,Paracuru,57,BR,1658710796,77,-3.41,-39.0306,80.11,12.68
98,3395062,Maués,56,BR,1658710750,63,-3.3836,-57.7186,79.48,0.65
99,5983720,Iqaluit,40,CA,1658710779,87,63.7506,-68.5145,47.93,3.44
100,3671450,Inírida,62,CO,1658710796,97,3.8653,-67.9239,71.06,1.66
101,1071296,Antalaha,56,MG,1658710731,88,-14.9003,50.2788,66.4,6.2
102,3985710,Cabo San Lucas,13,MX,1658710797,73,22.8909,-109.9124,89.62,5.01
103,3893726,Constitución,100,CL,1658710745,95,-35.3333,-72.4167,52.84,8.41
104,4835461,Groton,94,US,1658710797,79,41.3501,-72.0784,82.02,7.0
105,6165406,Thompson,20,CA,1658710797,37,55.7435,-97.8558,71.76,3.44
106,2063036,Port Lincoln,7,AU,1658710797,56,-34.7333,135.8667,57.34,22.68
107,3421719,Narsaq,100,GL,1658710798,69,60.9167,-46.05,49.51,5.1
108,5866583,Saint Paul Harbor,100,US,1658710798,98,57.79,-152.4072,52.81,7.38
109,3533462,Acapulco de Juárez,100,MX,1658710625,79,16.8634,-99.8901,81.84,2.42
110,1862505,Hirara,40,JP,1658710798,74,24.8,125.2833,89.46,5.75
111,2820693,Tuttlingen,0,DE,1658710799,75,47.9833,8.8167,66.76,1.21
112,4021858,Guerrero Negro,18,MX,1658710799,70,27.9769,-114.0611,72.57,16.17
113,1710519,Isabela,100,PH,1658710799,69,6.7085,121.9711,84.25,2.24
114,5935341,Dauphin,0,CA,1658710799,46,51.1494,-100.0502,71.74,10.36
115,528278,Mayna,55,RU,1658710800,91,54.1135,47.6231,61.12,4.07
116,6167817,Torbay,20,CA,1658710800,74,47.6666,-52.7314,74.17,16.11
117,1528998,Yumen,39,CN,1658710801,24,40.2833,97.2,80.49,14.29
118,2140558,Koumac,0,NC,1658710801,60,-20.5667,164.2833,76.15,8.32
119,2206939,Bluff,15,NZ,1658710801,78,-46.6,168.3333,41.81,10.87
120,2022572,Khatanga,100,RU,1658710797,76,71.9667,102.5,66.34,14.09
121,2264557,Ponta do Sol,0,PT,1658710802,36,32.6667,-17.1,84.13,3.15
122,3421982,Maniitsoq,0,GL,1658710803,82,65.4167,-52.9,45.03,13.04
123,5592562,Emmett,0,US,1658710803,18,43.8735,-116.4993,94.19,3.0
